OPERATOR,RIG,JOBNUM,WELL,COUNTY,STATE,BHA,BHA_DESC,DATEIN,DATEOUT,DEPTHIN,DEPTHOUT,TOTAL DRILL,ROTATE DRILL,ROTATE HRS,ROTATE ROP,SLIDE ROP,AVG ROP,CIRC_HOURS,DRILLING_HOURS,SLIDE_DRILLED,SLIDE_HOURS,BIT_MAKE,BIT_MODEL,BIT_NUM,TFA,GRADEOUT,MUD_WEIGHT,FLUID_TYPE,SOLIDS,PV,YP,CHLORIDES,BHT,MOTOR_OD,MOTOR_DESCRIPTION,SN,MOTOR_MODEL,MOTOR_MAKE,BENDANGLE,BIT2BEND,MOTOR_LOBES,MOTOR_STAGES,PLANNEDDLS,ACTDLS,MOTORYIELD,ON_BTM_PRESS,RPM,DIFF_PRESS,MAX_DIFFP,ON_BTM_TQ,MAX_TORQUE,FLOW_RATE,MAX_FLOW,WOB,COMMENTS,ADDITIONAL_COMMENTS,UNPLANNED_TRIP,MOTOR_FAILURE,MWD_FAILURE,TRIP_FOR_FAILURE,NPT,HRS_TO_FAIL,NUM_STALLS,WASH_REAM_TIME,DRY_REAM_TIME,PU,ROT,SO,SURFACEFINDINGS,TROUBLESHOOTING,LAT,LONG,BRT_HRS,PHASES,MOTOR_KICKPAD_OD,MOTOR_SLEEVE_OD,MAX_DLS,REASON_POOH,STATOR_FIT,STATOR_TYPE,BHT_MIN,BHT_AVG,BHT_MAX,MWD_COMMENTS
"KILLAM OIL CO., LTD",H&P 254,TX-FP-240059,Nido Ranch 8H - Nido Ranch West Pad - 1H - Nido Ranch 8H,Webb,Texas,4,BHA 4,11/16/2024,11/18/2024,8052,10448,2396,2151,17.25,124.696,17.605,76.877,34.917,31.167,245,13.917,Baker Hughes,DD306TS,4,1.767,0-1-WT-N-X-I-NO-BHA,13.2,OBM,25.04,33,6,35000,0,7.25,7 1/4 5/6 8.2 Fxd. @ 2.25 w/ 8 1/4 NBS (FIT: 0.004),LDS-7-M-012,5/6 8.2,Liberty,2.25,4.45,5/6,8.2,12,12,15,3400,47.5,540,1930,9.25,11760,565,600,14.1,"The Assembly was run to drill the curve. It was a LDS motor in conjunction with a Hughes 306TS bit selection. The motor was set @ 2.25?.it drilled from KOP of 10248 and was pulled at 10447?. It was pulled projecting 21.65 angle and 207 azm. It yielded 12.7 in the first 100ft and 10.7 in the second 100?. The reason it was pulled was poor TF control and low ROP. It was very touchy with minimal WOB. It was erratic ob TF control with low ROP. A 100 pound diff spike would travel 360 degrees and then come back to origin. Decision was made to pOOH to inspect assembly. At surface the motor drain fine and exhibited minimum amount of slack and play. The bit was green and frded at 0-1-WT-N-X-I-NO-BHA. The assembly was run to drill the curve using an LDS motor in conjunction with a Hughes 306TS bit. The motor was set at 2.25? and drilled from the kickoff point at 10,248 to 10,447. Upon being pulled, the projection showed a 21.65? inclination and 207? azimuth. The assembly delivered a build rate of 12.7? per 100 in the first 100 feet and 10.7? per 100 in the second 100 feet. During the drilling process, there were five hard stalls. It was pulled due to poor toolface control and low (ROP). The assembly exhibited erratic TF behavior with minimal weight on bit (WOB), and a 100-pound differential pressure spike would cause the toolface to rotate 360? before returning to its origin. Given these performance issues, the decision was made (POOH) and inspect the assembly. At the surface, the motor drained as expected and exhibited minimal slack or play. The bit was graded as green, with a score of 0-1-WT-N-X-I-NO-BHA.","The Assembly was run to drill the curve. It was a LDS motor in conjunction with a Hughes 306TS bit selection. The motor was set @ 2.25?.it drilled from KOP of 10248 and was pulled at 10447?. It was pulled projecting 21.65 angle and 207 azm. It yielded 12.7 in the first 100ft and 10.7 in the second 100?. The reason it was pulled was poor TF control and low ROP. It was very touchy with minimal WOB. It was erratic ob TF control with low ROP. A 100 pound diff spike would travel 360 degrees and then come back to origin. Decision was made to pOOH to inspect assembly. At surface the motor drain fine and exhibited minimum amount of slack and play. The bit was green and frded at 0-1-WT-N-X-I-NO-BHA. The assembly was run to drill the curve using an LDS motor in conjunction with a Hughes 306TS bit. The motor was set at 2.25? and drilled from the kickoff point at 10,248 to 10,447. Upon being pulled, the projection showed a 21.65? inclination and 207? azimuth. The assembly delivered a build rate of 12.7? per 100 in the first 100 feet and 10.7? per 100 in the second 100 feet. During the drilling process, there were five hard stalls. It was pulled due to poor toolface control and low (ROP). The assembly exhibited erratic TF behavior with minimal weight on bit (WOB), and a 100-pound differential pressure spike would cause the toolface to rotate 360? before returning to its origin. Given these performance issues, the decision was made (POOH) and inspect the assembly. At the surface, the motor drained as expected and exhibited minimal slack or play. The bit was graded as green, with a score of 0-1-WT-N-X-I-NO-BHA.",0,0,0,0,0,0,5,0,0,240,210,200,,,27.83246,-99.56454,51.25,INT-1: INTERMEDIATE 1 / CURVE: CURVE,7.57,8.25,12.73,Change BHA,0.004,HPW,1000.25,0,0,
"KILLAM OIL CO., LTD",H&P 254,TX-FP-240059,Nido Ranch 8H - Nido Ranch West Pad - 1H - Nido Ranch 8H,Webb,Texas,5,BHA 5,11/18/2024,11/20/2024,10448,12522,2074,1481,21.583,68.618,48.74,61.452,36.5,33.75,593,12.167,Ulterra,U611S,5,2.031,1-1-WT-S-X-I-NO-PR,13.4,OBM,26.48,28,4,36000,0,7.25,"7 1/4"" 5/6 8.2 Fxd. @ 2.25 w/ 8 1/4"" NBS (FIT: -0.008)",LDS-7-M-013,5/6 8.2,Liberty,2.25,4.49,5/6,8.2,15,17,15,4206,45,656,1930,12.333,11760,600,600,40.8,"ROP - Assembly was ran to land curve and continue drilling lateral. Motor yields ranged from 15-17?/ 100 consistently. During large rotations in curve assembly did drop angle but was expected to do so. Drilling first part of lateral it slowly walked left and slowly dropped inclination. While building turn F/ 180 azm T/ 160 azm assembly started walking left in rotation 5?/ 100. Decision was made to drop angle in attempts to get into better rock to help midigate turning in rotation. Assemblys ROP was slower than expected & kept declining the further drilled. Decision was made to TOOH for 5/6 8.3 motor w/ 613 bit. Upon out of the hole the wear pad was found damaged (pictures attached), Motor had no slack, & was drained completely prior to attempting to do so. Bit graded @ 1/1/WT/S/X/I/NO/PR","Assembly was ran to land curve and continue drilling lateral. Motor yields ranged from 15-17?/ 100 consistently. During large rotations in curve assembly did drop angle but was expected to do so. Drilling first part of lateral it slowly walked left and slowly dropped inclination. While building turn F/ 180 azm T/ 160 azm assembly started walking left in rotation 5?/ 100. Decision was made to drop angle in attempts to get into better rock to help midigate turning in rotation. Assemblys ROP was slower than expected & kept declining the further drilled. Decision was made to TOOH for 5/6 8.3 motor w/ 613 bit. Upon out of the hole the wear pad was found damaged (pictures attached), Motor had no slack, & was drained completely prior to attempting to do so. Bit graded @ 1/1/WT/S/X/I/NO/PR",0,0,0,0,0,0,2,0,0,276,230,204,,,27.83246,-99.56454,48,CURVE: CURVE / LAT: LATERAL,7.57,8.25,17.41,ROP,0,HPW,1000.25,0,0,No Issues
"KILLAM OIL CO., LTD",H&P 254,TX-FP-240059,Nido Ranch 8H - Nido Ranch West Pad - 1H - Nido Ranch 8H,Webb,Texas,6,BHA 6,11/20/2024,11/23/2024,12522,18790,6268,5908,46.083,128.203,41.143,114.31,65.583,54.833,360,8.75,Ulterra,SPL613,6,1.767,1-1-NO-A-X-1/16-RR-TD,13.6,OBM,26.65,29,6,32000,0,0,"7 1/4"" 5/6 8.3 Fxd. @ 1.83 True Slick (FIT: -0.018)",LDS-7-M-009,MOAB,Liberty,1.83,4.55,5/6,8.3,2,4,0,5216.667,65.652,674.769,1960,17.478,13030,666.667,700,40.205,"TD The assembly was run from 12,522 to the section TD at 18,790. During the run, the temperature ranged from 260?F to 307?F. The average differential pressure was 800 PSI, with an average weight on bit of 40,000 pounds and an average rotary speed of 70 RPM. The assembly exhibited a slight build tendency in rotation, while the motor delivered an average yield of 12.5? per 100 in slide mode.
At the surface, the motor was tight during the draining process, and the kick pad did exibit some minimal wear. The bit was graded at 1-1-NO-A-X-1/16-RR-TD.","The assembly was run from 12,522 to the section TD at 18,790. During the run, the temperature ranged from 260?F to 307?F. The average differential pressure was 800 PSI, with an average weight on bit of 40,000 pounds and an average rotary speed of 70 RPM. The assembly exhibited a slight build tendency in rotation, while the motor delivered an average yield of 12.5? per 100 in slide mode.
At the surface, the motor was tight during the draining process, and the kick pad did exibit some minimal wear. The bit was graded at 1-1-NO-A-X-1/16-RR-TD.",0,0,0,0,0,0,0,0,0,299.103,226.41,186.154,,,27.83246,-99.56454,83.333,LAT: LATERAL,7.53,0,4.25,Section TD,-0.018,NBR-HPW,1000.25,0,0,
"KILLAM OIL CO., LTD",H&P 254,TX-FP-240059,Nido Ranch 8H - Nido Ranch West Pad - 1H - Nido Ranch 8H,Webb,Texas,1,BHA 1,10/29/2024,10/29/2024,0,3460,3460,3371,14.35,234.913,76.286,222.986,18.833,15.517,89,1.167,Smith,SDi616,1,0.994,1-3-WT-S-X-1/16-BT-TD,0,,0,0,0,0,0,9.625,"9 5/8"" 6/7 5.0 Fxd. @ 1.75 w/ 17 1/4"" NBS (Fit: 0.024)",DM96214US,6/7 5.0,DynoMax,1.75,5.7,6/7,5.0,0,0,8,2658.621,57.273,618.966,1180,20145.455,23860,964.552,1300,33.862,"TD Section This run was smooth overall. The assembly successfully drilled surface hole from 80 ft to 3565 ft Total Depth, holding well in rotation and maintaining good control with an average yield while sliding between 6-10? per 100 ft. A flow rate of 1000 GPM was used throughout the run, with an average differential pressure between 700-900 PSI, and torque averaged 22,000 ft-lbs while on bottom. Upon reaching surface, the motor drained ok and was tight with no slop or play in the bearings. While pulling out of hole (POOH), a tight section was encountered between 800 ft and 1000 ft, requiring back-reaming from 900 ft to 800 ft. Once cleaned up the string was worked with no pump and without issue. Bit Grade was 1-3-WT-S-X-1/16-BT-TD
.","This run was smooth overall. The assembly successfully drilled surface hole from 80 ft to 3565 ft Total Depth, holding well in rotation and maintaining good control with an average yield while sliding between 6-10? per 100 ft. A flow rate of 1000 GPM was used throughout the run, with an average differential pressure between 700-900 PSI, and torque averaged 22,000 ft-lbs while on bottom. Upon reaching surface, the motor drained ok and was tight with no slop or play in the bearings. While pulling out of hole (POOH), a tight section was encountered between 800 ft and 1000 ft, requiring back-reaming from 900 ft to 800 ft. Once cleaned up the string was worked with no pump and without issue. Bit Grade was 1-3-WT-S-X-1/16-BT-TD
.",0,0,0,0,0,0,0,0,0,113.448,104.448,97.931,,,27.83246,-99.56454,22.75,Surface: Surface,10.125,17.25,1.58,Section TD,0.024,,1000.25,0,0,
"KILLAM OIL CO., LTD",H&P 254,TX-FP-240059,Nido Ranch 8H - Nido Ranch West Pad - 1H - Nido Ranch 8H,Webb,Texas,2,BHA 2,11/3/2024,11/4/2024,3575,4376,801,688,6.083,113.096,22.23,71.731,16.667,11.167,113,5.083,Baker Hughes,D406VX,2,1.178,1-8-RO-S-X-I-NR-PR,12.2,OBM,0,28,4,0,0,8,8 7/8 5.9 Fxd. @ 1.75 w/ 12  NBS (Fit: 0.014),DM800ML024US,7/8 5.9,DynoMax,1.75,4.85,7/8,5.9,1,0,0,4114.286,58.889,685.714,1390,22.778,21870,882.143,900,38.929,"ROP - The BHA run did not achieve its objective of drilling out at 3,509 and reaching the Intermediate section TD. After drilling out the shoe track and beginning to drill in the Intermediate section, the assembly would only drill at a rate of 80-100 feet per hour with a maximum differential pressure of 350 PSI. After troubleshooting and washing, it was thought that a balled-up bit might be the cause of the low ROP. Following these actions, the ROP increased to 200 feet per hour, and the differential pressure rose from 350 to 750 PSI.
However, issues persisted when attempting the first slide. The assembly repeatedly acted as if it were wedging, making only 3 feet of progress before experiencing resistance again. This pattern continued throughout the slide, with overpull reaching up to 80,000 pounds over the string weight when picking up out of the slide. Returning to bottom, all differential pressure would drop off, and weight on the bit would stack out. To address this, a wiper trip was made. Upon returning to bottom, a successful slide was completed. However, while rotating down the remainder of the stand, the ROP again dropped significantly, from over 200 feet per hour down to just 20 feet per hour.
At this point, the decision was made to pull out of hole (TOOH) and inspect the BHA. At the surface, the mud motor showed minimal slack and play in the bearing section during the drain procedure. The bit was graded at 1-8-RO-S-X-I-NR-PR, with ringing out on the shoulders. Based on these observations, pick up a new Ulterra SP613.","The BHA run did not achieve its objective of drilling out at 3,509 and reaching the Intermediate section TD. After drilling out the shoe track and beginning to drill in the Intermediate section, the assembly would only drill at a rate of 80-100 feet per hour with a maximum differential pressure of 350 PSI. After troubleshooting and washing, it was thought that a balled-up bit might be the cause of the low ROP. Following these actions, the ROP increased to 200 feet per hour, and the differential pressure rose from 350 to 750 PSI.
However, issues persisted when attempting the first slide. The assembly repeatedly acted as if it were wedging, making only 3 feet of progress before experiencing resistance again. This pattern continued throughout the slide, with overpull reaching up to 80,000 pounds over the string weight when picking up out of the slide. Returning to bottom, all differential pressure would drop off, and weight on the bit would stack out. To address this, a wiper trip was made. Upon returning to bottom, a successful slide was completed. However, while rotating down the remainder of the stand, the ROP again dropped significantly, from over 200 feet per hour down to just 20 feet per hour.
At this point, the decision was made to pull out of hole (TOOH) and inspect the BHA. At the surface, the mud motor showed minimal slack and play in the bearing section during the drain procedure. The bit was graded at 1-8-RO-S-X-I-NR-PR, with ringing out on the shoulders. Based on these observations, pick up a new Ulterra SP613.",0,0,0,0,0,0,0,1,0,167.143,157.143,147.143,,,27.83246,-99.56454,29.5,INT-1: INTERMEDIATE 1,8.38,12,2.31,ROP,0.014,NBR-HPW,1000.25,0,0,
"KILLAM OIL CO., LTD",H&P 254,TX-FP-240059,Nido Ranch 8H - Nido Ranch West Pad - 1H - Nido Ranch 8H,Webb,Texas,3,BHA 3,11/5/2024,11/7/2024,4376,8052,3676,3401,19.333,175.914,46.479,145.584,34.25,25.25,275,5.917,Ulterra,SPL613,3,1.178,1-1-NO-A-X-I-RR-TD,12.4,OBM,21.41,25,4,219797,0,8,"8 7/8 5.9 Fxd. @ 1.75 w/ 11 3/4""  NBS (Fit: 0.006)",DM800ML019US,7/8 5.9,DynoMax,1.75,4.85,7/8,5.9,1,0,0,5084.615,55.333,696.154,1390,20.867,21870,893.692,900,37.192,"Drilled the intermediate section from 4,376 to the TD at 8,052. This assembly?s overall tendency in rotation was a fall of 0.5 to 1 degree per hundred feet. The average differential pressure during the run was 800 PSI, with a rotary speed of 50-60 RPM and an average weight on bit (WOB) of 35-40,000 pounds. Pulled out of hole upon reaching the intermediate section TD. At the surface, the motor dried fine, showing minimal play or slack in the bearings. Bit graded 1-1-NO-A-X-I-RR-TD.","Drilled the intermediate section from 4,376 to the TD at 8,052. This assembly?s overall tendency in rotation was a fall of 0.5 to 1 degree per hundred feet. The average differential pressure during the run was 800 PSI, with a rotary speed of 50-60 RPM and an average weight on bit (WOB) of 35-40,000 pounds. Pulled out of hole upon reaching the intermediate section TD. At the surface, the motor dried fine, showing minimal play or slack in the bearings. Bit graded 1-1-NO-A-X-I-RR-TD.",0,0,0,0,0,0,0,0,0,218.462,196.923,178.077,,,27.83246,-99.56454,49.75,INT-1: INTERMEDIATE 1,8.38,11.75,2.79,Section TD,0.006,NBR-HPW,1000.25,0,0,
"KILLAM OIL CO., LTD",H&P 254,TX-FP-240060,Nido Ranch 9H - Nido Ranch West Pad - 1H - Nido Ranch 9H,Webb,Texas,3,BHA 3,11/25/2024,11/28/2024,8056,13846,5790,4929,37.583,131.149,59.723,111.346,60.75,52,861,14.417,Ulterra,SPL613,3,1.767,1-1-NO-A-X-1/16-RR-BHA,13,OBM,28.19,32,6,31000,0,7.25,"7 1/4"" 5/6 8.2 Fxd. @ 2.25 w/ 8 1/4"" NBS (FIT: -0.002)",LDS-7-M-006,5/6 8.2,Liberty,2.25,4.49,5/6,8.2,12,14.5,15,4266.463,40.476,715.244,1930,9.762,11760,597.561,600,27.878,"Stator Chunk This assembly drilled the curve section, kicking off at 10,311 and landing at 11,160. The motor yield throughout the run averaged 14.5? per 100, exceeding the plan, which was designed for 12? per 100. After landing, the assembly continued into the lateral until 13,843, at which point the decision was made to pull for a lateral assembly with a 1.83? motor setting and a stabilizer above the motor.Drilling parameters in the curve initially included a differential pressure of 350-450 PSI and a rate of penetration (ROP) of 30-40 feet per hour. Upon exiting the Anachoncho and entering the chalk, the formation cleaned up, allowing for higher differential pressures of 800-1,000 PSI and an ROP exceeding 150 feet per hour. In the lateral, the assembly averaged 700-800 PSI differential and tracked well in rotation, showing an overall tendency to build and drop slightly while turning left.At the surface, the motor drained tight with minimal play in the bearings. The bit was graded at 1-1-NO-A-X-1/16-RR-BHA, and two jets were found to be plugged with stator rubber","Stator Chunk This assembly drilled the curve section, kicking off at 10,311 and landing at 11,160. The motor yield throughout the run averaged 14.5? per 100, exceeding the plan, which was designed for 12? per 100. After landing, the assembly continued into the lateral until 13,843, at which point the decision was made to pull for a lateral assembly with a 1.83? motor setting and a stabilizer above the motor.Drilling parameters in the curve initially included a differential pressure of 350-450 PSI and a rate of penetration (ROP) of 30-40 feet per hour. Upon exiting the Anachoncho and entering the chalk, the formation cleaned up, allowing for higher differential pressures of 800-1,000 PSI and an ROP exceeding 150 feet per hour. In the lateral, the assembly averaged 700-800 PSI differential and tracked well in rotation, showing an overall tendency to build and drop slightly while turning left.At the surface, the motor drained tight with minimal play in the bearings. The bit was graded at 1-1-NO-A-X-1/16-RR-BHA, and two jets were found to be plugged with stator rubber",1,0,0,0,0,0,0,0,0,262.195,234.512,197.317,,,27.8325,-99.56451,75,INT-1: INTERMEDIATE 1 / CURVE: CURVE / LAT: LATERAL,7.54,8.25,14.88,Change BHA,0,HPW,1000.25,0,0,
"KILLAM OIL CO., LTD",H&P 254,TX-FP-240060,Nido Ranch 9H - Nido Ranch West Pad - 1H - Nido Ranch 9H,Webb,Texas,4,BHA 4,11/28/2024,12/2/2024,13846,18915,5069,4447,33.417,133.077,109.765,129.697,56.167,39.083,622,5.667,Taurex,Sd614,4,2.227,1-1-WT-S-X-1/16-NO-TD,13.2,OBM,12.16,31,6,31000,0,7.25,7 1/4 5/6 8.3 Fxd. @ 1.83 True Slick (FIT: -0.021),LDS-7-M-013,5/6 8.3,Liberty,1.83,4.49,5/6,8.3,1,1,12,5132.121,74.048,789.091,1960,19.081,13030,619.697,700,32.182,"This lateral assembly was run from 13,846 to the section TD at 18,915 with a Taurex SD614 bit. During the run, the temperature ranged from 260?F to 307?F. The average differential pressure was 800 PSI, with an average weight on bit (WOB) of 35,000 pounds and an average rotary speed of 70 RPM. The flow rate during the run ranged from 600 to 650 GPM. The assembly exhibited a slight build tendency in rotation but mostly held the planned trajectory. The motor delivered an average yield of 12.5? per 100 in slide mode.At the surface, the motor drained tight with no significant slack or play, and the bit was graded at 1-1-WT-S-X-1/16-NO-TD","This lateral assembly was run from 13,846 to the section TD at 18,915 with a Taurex SD614 bit. During the run, the temperature ranged from 260?F to 307?F. The average differential pressure was 800 PSI, with an average weight on bit (WOB) of 35,000 pounds and an average rotary speed of 70 RPM. The flow rate during the run ranged from 600 to 650 GPM. The assembly exhibited a slight build tendency in rotation but mostly held the planned trajectory. The motor delivered an average yield of 12.5? per 100 in slide mode.At the surface, the motor drained tight with no significant slack or play, and the bit was graded at 1-1-WT-S-X-1/16-NO-TD",0,0,0,0,0,0,0,1,0,307.727,230,182.121,,,27.8325,-99.56451,79.75,LAT: LATERAL,7.57,0,2.55,Well TD,0,HPW,1000.25,0,0,
"KILLAM OIL CO., LTD",H&P 254,TX-FP-240060,Nido Ranch 9H - Nido Ranch West Pad - 1H - Nido Ranch 9H,Webb,Texas,1,BHA 1,10/30/2024,10/31/2024,105,3560,3455,3346,14.85,225.32,57.368,206.269,21.75,16.75,109,1.9,Ulterra,U616S,1,1.167,1-1-NO-A-X-I-RR-TD,8.7,WBM,0,2,1,2200,1500,9.625,"9 5/8"" 6/7 5.0 Fxd. @ 1.75 w/ 17 1/4 NBS (Fit: 0.024)",DM96214US,6/7 5.0,DynoMax,1.75,5.7,6/7,5.0,1,0.74,8,2180.952,57.5,653.81,1180,22416.667,23860,890.952,1300,26.19,"Drilled surface with this BHA without any issues. The motor yield ranged between 6-8 degrees per 100 ft, and the average differential pressure was 900 PSI. Upon inspection at surface, the motor was tight with no slack or play detected in the bearings. There were two tight spots that had to be cleaned up by back reaming. The first was 2000-1900? and the second was 100-900?. The bit was graded 1-1-NO-A-X-I-RR-TD.","Drilled surface with this BHA without any issues. The motor yield ranged between 6-8 degrees per 100 ft, and the average differential pressure was 900 PSI. Upon inspection at surface, the motor was tight with no slack or play detected in the bearings. There were two tight spots that had to be cleaned up by back reaming. The first was 2000-1900? and the second was 100-900?. The bit was graded 1-1-NO-A-X-I-RR-TD.",0,0,0,0,0,0,0,2,0,121.25,115.238,108.571,,,27.8325,-99.56451,24.75,Surface: Surface,10.12,17.25,0.74,Section TD,0.024,,1000.25,1500,1500,
"KILLAM OIL CO., LTD",H&P 254,TX-FP-240060,Nido Ranch 9H - Nido Ranch West Pad - 1H - Nido Ranch 9H,Webb,Texas,2,BHA 2,11/8/2024,11/11/2024,3560,8056,4496,4211,20.333,207.098,48.857,171.822,37.75,26.167,285,5.833,Ulterra,SPL613,3,1.178,,8.7,WBM,2.5,2,1,2200,0,8,"8 7/8 5.9 Fxd. @ 1.75 w/ 11 3/4""  NBS (Fit: 0.006)",DM800ML019US,7/8 5.9,DynoMax,1.75,4.85,7/8,5.9,0,0,0,4947.059,56.19,785.294,1390,17.81,21870,876.471,900,38.882,"Drilled the intermediate section from 4,376 to the TD at 8,056. This assembly?s overall tendency in rotation was a fall of 0.5 to 1 degree per hundred feet. The average differential pressure during the run was 800 PSI, with a rotary speed of 50-60 RPM and an average weight on bit (WOB) of 35-40,000 pounds. Pulled out of hole (POOH) upon reaching the intermediate section TD. At the surface, the motor dried fine, showing minimal play or slack in the bearings.","Drilled the intermediate section from 4,376 to the TD at 8,056. This assembly?s overall tendency in rotation was a fall of 0.5 to 1 degree per hundred feet. The average differential pressure during the run was 800 PSI, with a rotary speed of 50-60 RPM and an average weight on bit (WOB) of 35-40,000 pounds. Pulled out of hole (POOH) upon reaching the intermediate section TD. At the surface, the motor dried fine, showing minimal play or slack in the bearings.",0,0,0,0,0,0,0,0,0,206.176,188.529,174.706,,,27.8325,-99.56451,50.5,INT-1: INTERMEDIATE 1,8.38,11.75,1.56,Section TD,0.006,NBR-HPW,1000.25,0,0,
